iso3c,country,maternal_mortality,energy_use
AFG,Afghanistan,521,NA
ALB,Albania,7,888.463855695385
DZA,Algeria,62,1503.41406578063
AND,Andorra,11,NA
AGO,Angola,183,448.870903352713
ATG,Antigua and Barbuda,35,NA
ARG,Argentina,33,1763.50879742948
ARM,Armenia,19,1300.30532664528
AUS,Australia,2,4927.64894813822
AUT,Austria,6,3308.71167042411
AZE,Azerbaijan,18,1732.19739502846
BHS,"Bahamas, The",76,NA
BHR,Bahrain,17,10511.6129705274
BGD,Bangladesh,115,287.753137358845
BRB,Barbados,35,NA
BLR,Belarus,1,2856.48127583212
BEL,Belgium,4,4051.07409072709
BLZ,Belize,67,NA
BEN,Benin,518,394.574637069967
BTN,Bhutan,47,NA
BOL,Bolivia,146,847.306714580511
BIH,Bosnia and Herzegovina,6,2171.0481914264
BWA,Botswana,155,1249.83080453765
BRA,Brazil,67,1481.22439922518
BRN,Brunei Darussalam,36,8658.00697644634
BGR,Bulgaria,6,2604.19104505407
BFA,Burkina Faso,242,325.943903136553
BDI,Burundi,392,NA
CPV,Cabo Verde,40,NA
KHM,Cambodia,137,554.905182911585
CMR,Cameroon,258,370.718209068186
CAN,Canada,12,7336.06703531427
CAF,Central African Republic,692,NA
TCD,Chad,748,187.874009544708
CHL,Chile,10,2059.27616196845
CHN,China,16,2850.94152906511
COL,Colombia,59,872.633394703758
COM,Comoros,179,NA
COD,"Congo, Dem. Rep.",427,409.433571513278
COG,"Congo, Rep.",241,576.049227168162
CRI,Costa Rica,24,1025.14935705085
CIV,Cote d'Ivoire,359,483.503922762538
HRV,Croatia,3,2237.23369863861
CUB,Cuba,35,775.831381587569
CUW,Curacao,NA,3589.15943824479
CYP,Cyprus,14,1672.78575414138
CZE,Czechia,3,3509.34804885656
DNK,Denmark,4,2482.85667093368
DJI,Djibouti,162,NA
DMA,Dominica,36,NA
DOM,Dominican Republic,124,1011.62393484072
ECU,Ecuador,55,949.273888855786
EGY,"Egypt, Arab Rep.",17,928.39494742708
SLV,El Salvador,39,793.53801922306
GNQ,Equatorial Guinea,174,1271.35042221008
ERI,Eritrea,291,292.343429731134
EST,Estonia,5,3089.39333905852
SWZ,Eswatini,118,1007.28228546529
ETH,Ethiopia,195,382.175692692495
FJI,Fiji,30,NA
FIN,Finland,8,5866.65173975112
FRA,France,7,3136.12237461475
GAB,Gabon,233,2041.86846663466
GMB,"Gambia, The",354,NA
GEO,Georgia,20,1530.06712122186
DEU,Germany,4,2928.19658713867
GHA,Ghana,234,369.331287865765
